provider,model,random_seed,n_shot,example_strategy,expert_name,accuracy_vs_expert,kappa_vs_expert,f1_vs_expert,accuracy_vs_gt,accuracy_expert_vs_gt,n_total_test
classical,Logistic Regression,42,20,easy,aniso_x1,0.9692307692307692,0.9382276075077216,0.9692307692307692,0.9230769230769231,0.92,130
classical,SVM (RBF),42,20,easy,aniso_x1,0.9846153846153847,0.9691723974389377,0.984626331922347,0.9230769230769231,0.92,130
classical,k-NN (k=5),42,20,hard,aniso_x1,0.8153846153846154,0.6286598428945489,0.8151648351648353,0.8153846153846154,0.92,130
classical,Logistic Regression,42,20,hard,aniso_x1,1.0,1.0,1.0,0.9846153846153847,0.92,130
classical,SVM (RBF),42,20,hard,aniso_x1,0.9,0.7967284099109935,0.8983413330092958,0.8846153846153846,0.92,130
classical,k-NN (k=5),42,20,mixed,aniso_x1,0.8307692307692308,0.6602518412924685,0.8307692307692308,0.8076923076923077,0.92,130
classical,Logistic Regression,42,20,mixed,aniso_x1,0.9846153846153847,0.9690549869078791,0.9845970695970696,0.9307692307692308,0.92,130
classical,SVM (RBF),42,20,mixed,aniso_x1,0.8923076923076924,0.7837966262770254,0.8923076923076924,0.8538461538461538,0.92,130
classical,k-NN (k=5),42,20,random,aniso_x1,0.9846153846153847,0.9691138037538608,0.9846153846153847,0.9461538461538461,0.92,130
classical,Logistic Regression,42,20,random,aniso_x1,1.0,1.0,1.0,0.9307692307692308,0.92,130
classical,SVM (RBF),42,20,random,aniso_x1,0.9769230769230769,0.9535382416011436,0.976877690519743,0.9230769230769231,0.92,130
classical,k-NN (k=5),42,40,easy,aniso_x1,0.9818181818181818,0.9635399403380842,0.9818362671810947,0.9090909090909091,0.92,110
classical,Logistic Regression,42,40,easy,aniso_x1,0.990909090909091,0.9817457683372054,0.9909143714968958,0.9,0.92,110
classical,SVM (RBF),42,40,easy,aniso_x1,0.9818181818181818,0.9635399403380842,0.9818362671810947,0.8909090909090909,0.92,110
classical,k-NN (k=5),42,40,hard,aniso_x1,1.0,1.0,1.0,0.990909090909091,0.92,110
classical,Logistic Regression,42,40,hard,aniso_x1,1.0,1.0,1.0,0.990909090909091,0.92,110
classical,SVM (RBF),42,40,hard,aniso_x1,0.9818181818181818,0.9635399403380842,0.9818362671810947,0.9727272727272728,0.92,110
classical,k-NN (k=5),42,40,mixed,aniso_x1,0.9,0.7997351870241642,0.9001242236024845,0.9,0.92,110
classical,Logistic Regression,42,40,mixed,aniso_x1,1.0,1.0,1.0,0.9818181818181818,0.92,110
classical,SVM (RBF),42,40,mixed,aniso_x1,0.9818181818181818,0.9634430043203722,0.9818181818181818,0.9636363636363636,0.92,110
classical,k-NN (k=5),42,40,random,aniso_x1,0.9545454545454546,0.9079959852793577,0.9542978185170793,0.9272727272727272,0.92,110
classical,Logistic Regression,42,40,random,aniso_x1,1.0,1.0,1.0,0.9363636363636364,0.92,110
classical,SVM (RBF),42,40,random,aniso_x1,0.9727272727272728,0.944944944944945,0.9726521412471826,0.9272727272727272,0.92,110
classical,k-NN (k=3),42,5,easy,euclidean,0.9863013698630136,0.9723537208861958,0.9862832088003322,0.9452054794520548,0.9466666666666667,146
classical,Logistic Regression,42,5,easy,euclidean,0.9794520547945206,0.9584834123222749,0.9794082134624714,0.9383561643835616,0.9466666666666667,146
classical,SVM (RBF),42,5,easy,euclidean,0.9794520547945206,0.9584834123222749,0.9794082134624714,0.9383561643835616,0.9466666666666667,146
classical,k-NN (k=3),42,5,hard,euclidean,0.6301369863013698,0.24842707340324122,0.6273076651026807,0.6438356164383562,0.9466666666666667,146
classical,Logistic Regression,42,5,hard,euclidean,0.6232876712328768,0.23363237259018899,0.6198769584119432,0.636986301369863,0.9466666666666667,146
classical,SVM (RBF),42,5,hard,euclidean,0.547945205479452,0.041956651421753866,0.4866766128667661,0.5616438356164384,0.9466666666666667,146
classical,k-NN (k=3),42,5,mixed,euclidean,0.9931506849315068,0.9861925477586533,0.9931464743533684,0.952054794520548,0.9466666666666667,146
classical,Logistic Regression,42,5,mixed,euclidean,0.8767123287671232,0.7539786556824565,0.8768975496816516,0.8767123287671232,0.9466666666666667,146
classical,SVM (RBF),42,5,mixed,euclidean,0.910958904109589,0.8217170768363704,0.9111054428012788,0.8972602739726028,0.9466666666666667,146
classical,k-NN (k=3),42,5,random,euclidean,0.9383561643835616,0.874594388242031,0.9377980477401363,0.8972602739726028,0.9466666666666667,146
classical,Logistic Regression,42,5,random,euclidean,0.958904109589041,0.9166825185466996,0.9586926787504177,0.9178082191780822,0.9466666666666667,146
classical,SVM (RBF),42,5,random,euclidean,0.9452054794520548,0.8886558627264061,0.9447863207559527,0.9041095890410958,0.9466666666666667,146
classical,k-NN (k=5),42,10,easy,euclidean,0.9857142857142858,0.9711459192085737,0.985693671407957,0.9428571428571428,0.9466666666666667,140
classical,Logistic Regression,42,10,easy,euclidean,0.9857142857142858,0.9711459192085737,0.985693671407957,0.9428571428571428,0.9466666666666667,140
classical,SVM (RBF),42,10,easy,euclidean,0.9928571428571429,0.9855907780979827,0.99285236404273,0.95,0.9466666666666667,140
classical,k-NN (k=5),42,10,hard,euclidean,0.8214285714285714,0.6388774246801485,0.8210138248847926,0.8142857142857143,0.9466666666666667,140
classical,Logistic Regression,42,10,hard,euclidean,1.0,1.0,1.0,0.9642857142857143,0.9466666666666667,140
classical,SVM (RBF),42,10,hard,euclidean,0.5785714285714286,0.20850900728248378,0.5113745204826798,0.6142857142857143,0.9466666666666667,140
classical,k-NN (k=5),42,10,mixed,euclidean,0.7071428571428572,0.3785188393243829,0.6692428767111633,0.6642857142857143,0.9466666666666667,140
classical,Logistic Regression,42,10,mixed,euclidean,0.95,0.899631298648095,0.9500691633792714,0.9357142857142857,0.9466666666666667,140
classical,SVM (RBF),42,10,mixed,euclidean,0.9428571428571428,0.8854337152209493,0.9429507429507429,0.9285714285714286,0.9466666666666667,140
classical,k-NN (k=5),42,10,random,euclidean,0.9857142857142858,0.9711459192085737,0.985693671407957,0.9285714285714286,0.9466666666666667,140
classical,Logistic Regression,42,10,random,euclidean,0.9642857142857143,0.9279538904899135,0.9642618202136498,0.9071428571428571,0.9466666666666667,140
classical,SVM (RBF),42,10,random,euclidean,0.9428571428571428,0.8854337152209493,0.9429507429507429,0.9142857142857143,0.9466666666666667,140
classical,k-NN (k=5),42,20,easy,euclidean,0.9846153846153847,0.968877184582236,0.9845895962275272,0.9384615384615385,0.9466666666666667,130
classical,Logistic Regression,42,20,easy,euclidean,0.9923076923076923,0.9844609132201769,0.9923017153786385,0.9461538461538461,0.9466666666666667,130
classical,SVM (RBF),42,20,easy,euclidean,1.0,1.0,1.0,0.9384615384615385,0.9466666666666667,130
classical,k-NN (k=5),42,20,hard,euclidean,0.9769230769230769,0.9535160905840286,0.9769382057241881,0.9615384615384616,0.9466666666666667,130
classical,Logistic Regression,42,20,hard,euclidean,1.0,1.0,1.0,0.9846153846153847,0.9466666666666667,130
classical,SVM (RBF),42,20,hard,euclidean,0.7769230769230769,0.5679578271831309,0.7703023483048769,0.7615384615384615,0.9466666666666667,130
classical,k-NN (k=5),42,20,mixed,euclidean,0.8769230769230769,0.7517307233229888,0.8769230769230769,0.8692307692307693,0.9466666666666667,130
classical,Logistic Regression,42,20,mixed,euclidean,1.0,1.0,1.0,0.9615384615384616,0.9466666666666667,130
classical,SVM (RBF),42,20,mixed,euclidean,0.9923076923076923,0.9845053635280095,0.9923127352413958,0.9538461538461539,0.9466666666666667,130
classical,k-NN (k=5),42,20,random,euclidean,0.9692307692307692,0.9381099738157581,0.9692673992673992,0.9384615384615385,0.9466666666666667,130
classical,Logistic Regression,42,20,random,euclidean,0.9846153846153847,0.968877184582236,0.9845895962275272,0.9538461538461539,0.9466666666666667,130
classical,SVM (RBF),42,20,random,euclidean,0.9846153846153847,0.968877184582236,0.9845895962275272,0.9538461538461539,0.9466666666666667,130
classical,k-NN (k=5),42,40,easy,euclidean,1.0,1.0,1.0,0.9272727272727272,0.9466666666666667,110
classical,Logistic Regression,42,40,easy,euclidean,1.0,1.0,1.0,0.9272727272727272,0.9466666666666667,110
classical,SVM (RBF),42,40,easy,euclidean,1.0,1.0,1.0,0.9272727272727272,0.9466666666666667,110
classical,k-NN (k=5),42,40,hard,euclidean,1.0,1.0,1.0,0.990909090909091,0.9466666666666667,110
classical,Logistic Regression,42,40,hard,euclidean,1.0,1.0,1.0,0.990909090909091,0.9466666666666667,110
classical,SVM (RBF),42,40,hard,euclidean,0.8,0.612303748798462,0.7963333333333333,0.7909090909090909,0.9466666666666667,110
classical,k-NN (k=5),42,40,mixed,euclidean,0.990909090909091,0.9816360601001669,0.9909174388513231,0.9727272727272728,0.9466666666666667,110
classical,Logistic Regression,42,40,mixed,euclidean,1.0,1.0,1.0,0.9818181818181818,0.9466666666666667,110
classical,SVM (RBF),42,40,mixed,euclidean,1.0,1.0,1.0,0.9818181818181818,0.9466666666666667,110
classical,k-NN (k=5),42,40,random,euclidean,0.990909090909091,0.9815621857190747,0.9908991854679559,0.9636363636363636,0.9466666666666667,110
classical,Logistic Regression,42,40,random,euclidean,0.9818181818181818,0.9630500503862949,0.9817754154447703,0.9545454545454546,0.9466666666666667,110
classical,SVM (RBF),42,40,random,euclidean,0.9818181818181818,0.9630500503862949,0.9817754154447703,0.9545454545454546,0.9466666666666667,110
